[2026-07-10 12:21:36] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:21:36] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:26:49] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:26:49] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:27:05] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:27:05] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:27:05] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:27:05] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:27:39] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:27:39] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:28:16] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:28:16] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:29:05] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:29:05] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:29:06] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:29:06] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:29:49] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:29:49] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:30:12] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:30:12] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:30:33] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:30:33] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:30:34] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:30:34] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:30:41] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:30:41] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:31:35] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:31:35] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:31:48] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:31:48] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:31:49] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:31:49] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:31:57] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:31:57] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:32:28] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:32:28] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:33:00] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:33:00] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:33:01] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:33:01] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:33:15] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:33:15] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:33:40] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:33:40] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:34:15] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:34:15] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:34:25] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:34:25] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:34:26] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:34:26] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:35:15] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:35:15] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:35:46] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:35:46] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:35:47] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
