[2026-07-10 12:30:42] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:30:42] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:30:47] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:30:47] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:31:41] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:31:41] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:31:57] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:31:57] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:31:58] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:31:58] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:32:10] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:32:10] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:32:34] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:32:34] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:33:09] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:33:09] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:33:10] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:33:10] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:33:20] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:33:21] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:33:57] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:33:57] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:34:21] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:34:21] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:34:36] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:34:36] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:34:38] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:34:38] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:35:21] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:35:21] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:35:55] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:35:55] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:35:59] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:35:59] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:36:00] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:36:00] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:36:13] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:36:13] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:37:05] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:37:05] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:37:07] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:37:07] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
