[2026-07-10 12:06:51] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 12:06:51] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:06:51] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:07:16] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:07:16] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:07:16] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:07:21] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:07:21] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:07:21] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:07:59] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 12:07:59] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:07:59] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:08:33] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:08:33] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:08:33] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:09:09] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 12:09:09] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:09:09] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:09:44] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:09:44] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:09:44] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:10:19] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
