NAME,WAIT_CLASS
enq: SX - contention 5,Other
enq: SX - contention 6,Other
first spare wait event,Other
second spare wait event,Other
Memory: Reg/Dereg,Other
IPC send completion sync,Other
OSD IPC library,Other
IPC wait for name service busy,Other
IPC busy async request,Other
IPC waiting for OSD resources,Other
ksxr poll remote instances,Other
ksxr wait for mount shared,Other
DBMS_LDAP: LDAP operation,Other
wait for FMON to come up,Other
enq: FM - contention,Other
enq: XY - contention,Other
latch: active service list,Other
latch: service drain list,Other
latch: last service list,Other
latch: java patching,Other
enq: AS - service activation,Other
JAVA patching,Other
enq: PD - contention,Other
oracle thread bootstrap,Other
os thread creation,Other
cleanup of aborted process,Other
enq: XM - contention,Other
enq: RU - contention,Other
enq: RU - waiting,Other
rolling migration: cluster quiesce,Other
LMON global data update,Other
rolling migration: orphans detected,Other
process diagnostic dump,Other
enq: MX - sync storage server info,Other
master diskmon startup,Other
master diskmon read,Other
DSKM to complete cell health check,Other
pmon dblkr tst event,Other
latch: ksolt lwth alloc,Other
lightweight thread operation,Other
lightweight thread task completion,Other
enq: WN - rw snapshot synchronization,Other
read/write snapshot completion,Other
enq: ZX - repopulation file write,Other
pmon cleanup,Other
pmon shutdown,Other
GL: cross instance latch free,Other
RMA: rlog allocate,Other
RMA: RAC reconfig,Other
RMA: latch,Other
DNFS disp IO slave cleanup,Other
enq: KA - ACL control status,Other
Nest operation,Other
DIAG lock acquisition,Other
latch: ges resource hash list,Other
DFS lock handle,Other
ges server process to shutdown,Other
ges client process to exit,Other
ges global resource directory to be frozen,Other
ges resource directory to be unfrozen,Other
gcs resource directory to be unfrozen,Other
ges LMD to inherit communication channels,Other
ges lmd sync during reconfig,Other
ges wait for lmon to be ready,Other
ges cgs registration,Other
wait for master scn,Other
ges yield cpu in reconfig,Other
ges2 proc latch in rm latch get 1,Other
ges2 proc latch in rm latch get 2,Other
ges lmd/lmses to freeze in rcfg,Other
ges lmd/lmses to unfreeze in rcfg,Other
ges lms sync during dynamic remastering and reconfig,Other
ges LMON to join CGS group,Other
ges pmon to exit,Other
ges lmd and pmon to attach,Other
gcs drm freeze begin,Other
gcs retry nowait latch get,Other
gcs remastering wait for read latch,Other
ges cached resource cleanup,Other
ges generic event,Other
ges instance reconfig name entry query,Other
ges process with outstanding i/o,Other
ges user error,Other
ges enter server mode,Other
gcs enter server mode,Other
ges ipc enter server mode,Other
gcs drm freeze in enter server mode,Other
gcs ddet enter server mode,Other
ges cancel,Other
ges resource cleanout during enqueue open,Other
ges resource cleanout during enqueue open-cvt,Other
ges master to get established for SCN op,Other
ges LMON to get to FTDONE,Other
ges1 LMON to wake up LMD - mrcvr,Other
ges2 LMON to wake up LMD - mrcvr,Other
ges2 LMON to wake up lms - mrcvr 2,Other
ges2 LMON to wake up lms - mrcvr 3,Other
ges inquiry response,Other
ges reusing os pid,Other
ges LMON for send queues,Other
ges LMD suspend for testing event,Other
ges performance test completion,Other
kjbopen wait for recovery domain attach,Other
kjudomatt wait for recovery domain attach,Other
kjudomdet wait for recovery domain detach,Other
kjbdomalc allocate recovery domain - retry,Other
kjbdrmcvtq lmon drm quiesce: ping completion,Other
ges RMS0 retry add redo log,Other
readable standby redo apply remastering,Other
ges DFS hang analysis phase 2 acks,Other
ges/gcs diag dump,Other
global plug and play automatic resource creation,Other
gcs lmon dirtydetach step completion,Other
recovery instance recovery completion,Other
ack for a broadcasted res from a remote instance,Other
kill all read-only instances in cluster,Other
latch: kjci process context latch,Other
latch: kjci request sequence latch,Other
DLM cross inst call completion,Other
DLM: shared instance mode init,Other
enq: KI - contention,Other
latch: kjoeq omni enqueue hash bucket latch,Other
DLM enqueue copy completion,Other
latch: kjoer owner hash bucket,Other
DLM Omni Enq Owner replication,Other
KJC: Wait for msg sends to complete,Other
ges message buffer allocation,Other
kjctssqmg: quick message send wait,Other
gcs domain validation,Other
latch: gcs resource hash,Other
affinity expansion in replay,Other
wait for sync ack,Other
wait for verification ack,Other
wait for assert messages to be sent,Other
wait for scn ack,Other
lms flush message acks,Other
name-service call wait,Other
CGS wait for IPC msg,Other
IMR hang simulation,Other
IMR mount phase II completion,Other
IMR disk votes,Other
IMR rr lock release,Other
IMR net-check message ack,Other
IMR rr update,Other
IMR membership resolution,Other
IMR CSS join retry,Other
IMR slave process init,Other
IMR slave process shutdown,Other
IMR slave acknowledgement msg,Other
CGS skgxn join retry,Other
CGS ping operation,Other
gcs to be enabled,Other
gcs log flush sync,Other
KA: shared KGA not initialized,Other
enq: PP - contention,Other
enq: HM - contention,Other
GCR ctx lock acquisition,Other
GCR CSS group lock,Other
GCR CSS group join,Other
GCR CSS group leave,Other
GCR CSS group update,Other
GCR CSS group query,Other
enq: AC - acquiring partition id,Other
LMA glob lock acquisition,Other
LMA KGA glob lock acquisition,Other
latch: GCS logfile block,Other
latch: GCS logfile write queue,Other
LMFC reconfig operation,Other
PCFC: recovery domain valid,Other
SGA: allocation forcing component growth,Other
SGA: sga_target resize,Other
enq: SC - contention,Other
control file heartbeat,Other
control file diagnostic dump,Other
enq: CF - contention,Other
enq: SW - contention,Other
enq: DS - contention,Other
enq: TC - contention,Other
enq: TC - contention2,Other
buffer exterminate,Other
kcbw: cache protect wait,Other
latch: cache buffers lru chain,Other
enq: PW - perwarm status in dbw0,Other
latch: checkpoint queue latch,Other
latch: cache buffer handles,Other
kcbzps,Other
DBWR range invalidation sync,Other
buffer deadlock,Other
buffer latch,Other
cr request retry,Other
influx scn,Other
writes stopped by instance recovery or database suspension,Other
lock escalate retry,Other
lock deadlock retry,Other
prefetch warmup block being transferred,Other
recovery buffer pinned,Other
tablespace key change,Other
TSE SSO wallet reopen,Other
force-cr-override flush,Other
enq: CR - block range reuse ckpt,Other
enq: TR - serialize TS rekeys,Other
enq: TR - database key open check,Other
enq: TR - serialize system rekeys,Other
wait for MTTR advisory state object,Other
latch: object queue header operation,Other
enq: BU - recovery set construct,Other
enq: BU - recovery set takeover,Other
retry CFTXN during close,Other
get branch/thread/sequence enqueue,Other
enq: WL - Test access/locking,Other
Data Guard server operation completion,Other
FAL archive wait 1 sec for REOPEN minimum,Other
TEST: action sync,Other
TEST: action hang,Other
RSGA: RAC reconfiguration,Other
enq: WL - RAC-wide SGA initialize,Other
enq: WL - RAC-wide SGA write,Other
enq: WL - RAC-wide SGA dump,Other
MRP stop,Other
enq: SA - standby redo logfiles,Other
enq: WS - contention,Other
MRP wait on process start,Other
MRP wait on process restart,Other
MRP wait on startup clear,Other
MRP inactivation,Other
MRP wait on archivelog arrival,Other
MRP wait on archivelog archival,Other
enq: WL - Far Sync Fail Over,Other
enq: SA - MRP SRL access,Other
Monitor testing,Other
enq: WL - redo_db table update,Other
enq: WL - redo_log table update,Other
log switch/archive,Other
enq: WL - Switchover To Primary,Other
ARCH wait on c/f tx acquire 1,Other
RFS attach,Other
RFS create,Other
RFS close,Other
RFS announce,Other
RFS register,Other
RFS detach,Other
RFS ping,Other
RFS dispatch,Other
enq: WL - RFS global state contention,Other
enq: WL - SNA access/locking,Other
LGWR simulation latency wait,Other
LNS simulation latency wait,Other
ASYNC Remote Write,Other
SYNC Remote Write,Other
ARCH Remote Write,Other
Redo Transport Attach,Other
Redo Transport Detach,Other
Redo Transport Open,Other
Redo Transport Close,Other
Redo Transport Ping,Other
Remote SYNC Ping,Other
Redo Transport Slave Startup,Other
Redo Transport Slave Shutdown,Other
Redo Writer Remote Sync Notify,Other
Redo Writer Remote Sync Complete,Other
Redo Transport MISC,Other
Redo Transport Network Throttle,Other
enq: WL - Network Throttle,Other
LGWR-LNS wait on channel,Other
enq: WR - contention,Other
Data Guard: rtrt work,Other
Redo transport testing,Other
enq: RZ - add element,Other
enq: RZ - remove element,Other
Image redo gen delay,Other
Long operation CF pause,Other
LGWR wait for redo copy,Other
latch: redo allocation,Other
log file switch (clearing log file),Other
log file sync: PDB shutdown abort,Other
target log write size,Other
LGWR any worker group,Other
LGWR all worker groups,Other
LGWR worker group ordering,Other
LGWR intra group sync,Other
LGWR intra group IO completion,Other
enq: WL - contention,Other
enq: RN - contention,Other
DFS db file lock,Other
PDB close/open on another instance,Other
database open on read-write instance,Other
enq: DF - contention,Other
enq: IS - contention,Other
enq: IP - open/close PDB,Other
enq: PX - PDB instance recovery,Other
enq: FS - contention,Other
enq: FS - online log operation,Other
enq: DM - contention,Other
enq: DM - access control,Other
enq: RP - contention,Other
latch: gc element,Other
redo log switch request completion,Other
enq: RT - contention,Other
enq: RT - thread internal enable/disable,Other
enq: IR - contention,Other
enq: IR - contention2,Other
enq: IR - global serialization,Other
enq: IR - local serialization,Other
enq: IR - arbitrate instance recovery,Other
enq: MR - contention,Other
enq: MR - standby role transition,Other
enq: MR - multi instance redo apply,Other
enq: MR - any role transition,Other
