[2026-07-10 12:33:04] INFO     | foreground_wait_events | ✅ Inserted 24 rows into awr_foreground_wait_events
[2026-07-10 12:33:16] INFO     | foreground_wait_events | ✅ Parsed 29 Foreground Wait Event records.
[2026-07-10 12:33:16] INFO     | foreground_wait_events | ✅ Inserted 29 rows into awr_foreground_wait_events
[2026-07-10 12:33:44] INFO     | foreground_wait_events | ✅ Parsed 33 Foreground Wait Event records.
[2026-07-10 12:33:44] INFO     | foreground_wait_events | ✅ Inserted 33 rows into awr_foreground_wait_events
[2026-07-10 12:34:17] INFO     | foreground_wait_events | ✅ Parsed 29 Foreground Wait Event records.
[2026-07-10 12:34:17] INFO     | foreground_wait_events | ✅ Inserted 29 rows into awr_foreground_wait_events
[2026-07-10 12:34:27] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:34:27] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:34:29] INFO     | foreground_wait_events | ✅ Parsed 24 Foreground Wait Event records.
[2026-07-10 12:34:29] INFO     | foreground_wait_events | ✅ Inserted 24 rows into awr_foreground_wait_events
[2026-07-10 12:35:17] INFO     | foreground_wait_events | ✅ Parsed 29 Foreground Wait Event records.
[2026-07-10 12:35:17] INFO     | foreground_wait_events | ✅ Inserted 29 rows into awr_foreground_wait_events
[2026-07-10 12:35:49] INFO     | foreground_wait_events | ✅ Parsed 94 Foreground Wait Event records.
[2026-07-10 12:35:49] INFO     | foreground_wait_events | ✅ Inserted 94 rows into awr_foreground_wait_events
[2026-07-10 12:35:50] INFO     | foreground_wait_events | ✅ Parsed 33 Foreground Wait Event records.
[2026-07-10 12:35:50] INFO     | foreground_wait_events | ✅ Inserted 33 rows into awr_foreground_wait_events
[2026-07-10 12:35:52] INFO     | foreground_wait_events | ✅ Parsed 18 Foreground Wait Event records.
[2026-07-10 12:35:52] INFO     | foreground_wait_events | ✅ Inserted 18 rows into awr_foreground_wait_events
[2026-07-10 12:36:08] INFO     | foreground_wait_events | ✅ Parsed 52 Foreground Wait Event records.
[2026-07-10 12:36:08] INFO     | foreground_wait_events | ✅ Inserted 52 rows into awr_foreground_wait_events
[2026-07-10 12:36:59] INFO     | foreground_wait_events | ✅ Parsed 94 Foreground Wait Event records.
[2026-07-10 12:36:59] INFO     | foreground_wait_events | ✅ Inserted 94 rows into awr_foreground_wait_events
[2026-07-10 12:37:02] INFO     | foreground_wait_events | ✅ Parsed 52 Foreground Wait Event records.
[2026-07-10 12:37:02] INFO     | foreground_wait_events | ✅ Inserted 52 rows into awr_foreground_wait_events
[2026-07-10 12:37:04] INFO     | foreground_wait_events | ✅ Parsed 18 Foreground Wait Event records.
[2026-07-10 12:37:04] INFO     | foreground_wait_events | ✅ Inserted 18 rows into awr_foreground_wait_events
[2026-07-10 12:37:43] INFO     | foreground_wait_events | ✅ Parsed 33 Foreground Wait Event records.
[2026-07-10 12:37:44] INFO     | foreground_wait_events | ✅ Inserted 33 rows into awr_foreground_wait_events
[2026-07-10 12:38:18] INFO     | foreground_wait_events | ✅ Parsed 52 Foreground Wait Event records.
[2026-07-10 12:38:18] INFO     | foreground_wait_events | ✅ Inserted 52 rows into awr_foreground_wait_events
[2026-07-10 12:38:38] INFO     | foreground_wait_events | ✅ Parsed 94 Foreground Wait Event records.
[2026-07-10 12:38:38] INFO     | foreground_wait_events | ✅ Inserted 94 rows into awr_foreground_wait_events
[2026-07-10 12:38:46] INFO     | foreground_wait_events | ✅ Parsed 18 Foreground Wait Event records.
[2026-07-10 12:38:47] INFO     | foreground_wait_events | ✅ Inserted 18 rows into awr_foreground_wait_events
[2026-07-10 12:39:23] INFO     | foreground_wait_events | ✅ Parsed 27 Foreground Wait Event records.
[2026-07-10 12:39:23] INFO     | foreground_wait_events | ✅ Inserted 27 rows into awr_foreground_wait_events
[2026-07-10 12:39:56] INFO     | foreground_wait_events | ✅ Parsed 32 Foreground Wait Event records.
[2026-07-10 12:39:56] INFO     | foreground_wait_events | ✅ Inserted 32 rows into awr_foreground_wait_events
[2026-07-10 12:39:59] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:39:59] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:40:05] INFO     | foreground_wait_events | ✅ Parsed 17 Foreground Wait Event records.
[2026-07-10 12:40:05] INFO     | foreground_wait_events | ✅ Inserted 17 rows into awr_foreground_wait_events
[2026-07-10 12:40:19] INFO     | foreground_wait_events | ✅ Parsed 27 Foreground Wait Event records.
[2026-07-10 12:40:19] INFO     | foreground_wait_events | ✅ Inserted 27 rows into awr_foreground_wait_events
[2026-07-10 12:41:38] INFO     | foreground_wait_events | ✅ Parsed 27 Foreground Wait Event records.
[2026-07-10 12:41:38] INFO     | foreground_wait_events | ✅ Inserted 27 rows into awr_foreground_wait_events
[2026-07-10 12:41:46] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:41:47] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:41:51] INFO     | foreground_wait_events | ✅ Parsed 17 Foreground Wait Event records.
[2026-07-10 12:41:51] INFO     | foreground_wait_events | ✅ Inserted 17 rows into awr_foreground_wait_events
[2026-07-10 12:42:20] INFO     | foreground_wait_events | ✅ Parsed 32 Foreground Wait Event records.
[2026-07-10 12:42:20] INFO     | foreground_wait_events | ✅ Inserted 32 rows into awr_foreground_wait_events
[2026-07-10 12:42:41] INFO     | foreground_wait_events | ✅ Parsed 73 Foreground Wait Event records.
[2026-07-10 12:42:41] INFO     | foreground_wait_events | ✅ Inserted 73 rows into awr_foreground_wait_events
[2026-07-10 12:43:12] INFO     | foreground_wait_events | ✅ Parsed 102 Foreground Wait Event records.
[2026-07-10 12:43:12] INFO     | foreground_wait_events | ✅ Inserted 102 rows into awr_foreground_wait_events
[2026-07-10 12:43:13] INFO     | foreground_wait_events | ✅ Parsed 17 Foreground Wait Event records.
[2026-07-10 12:43:14] INFO     | foreground_wait_events | ✅ Inserted 17 rows into awr_foreground_wait_events
[2026-07-10 12:43:45] INFO     | foreground_wait_events | ✅ Parsed 73 Foreground Wait Event records.
[2026-07-10 12:43:45] INFO     | foreground_wait_events | ✅ Inserted 73 rows into awr_foreground_wait_events
[2026-07-10 12:44:13] INFO     | foreground_wait_events | ✅ Parsed 32 Foreground Wait Event records.
[2026-07-10 12:44:13] INFO     | foreground_wait_events | ✅ Inserted 32 rows into awr_foreground_wait_events
[2026-07-10 12:44:26] INFO     | foreground_wait_events | ✅ Parsed 104 Foreground Wait Event records.
[2026-07-10 12:44:26] INFO     | foreground_wait_events | ✅ Inserted 104 rows into awr_foreground_wait_events
[2026-07-10 12:44:27] INFO     | foreground_wait_events | ✅ Parsed 17 Foreground Wait Event records.
[2026-07-10 12:44:27] INFO     | foreground_wait_events | ✅ Inserted 17 rows into awr_foreground_wait_events
[2026-07-10 12:44:43] INFO     | foreground_wait_events | ✅ Parsed 73 Foreground Wait Event records.
[2026-07-10 12:44:43] INFO     | foreground_wait_events | ✅ Inserted 73 rows into awr_foreground_wait_events
