[2026-07-10 12:16:35] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 12:16:35] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 12:17:11] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 12:17:11] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 12:17:20] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 14 IOStat by Function/Filetype summary records.
[2026-07-10 12:17:20] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 14 rows into awr_iostat_func_filetype
[2026-07-10 12:17:48] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 17 IOStat by Function/Filetype summary records.
[2026-07-10 12:17:49] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 17 rows into awr_iostat_func_filetype
[2026-07-10 12:18:10] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:18:11] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:18:22] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 26 IOStat by Function/Filetype summary records.
[2026-07-10 12:18:22] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 26 rows into awr_iostat_func_filetype
[2026-07-10 12:18:59] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:18:59] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:19:02] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:19:02] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:19:32] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:19:32] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:19:54] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:19:54] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:20:11] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:20:11] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:20:41] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:20:41] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:20:43] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:20:43] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:21:21] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:21:21] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:21:31] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
