[2026-07-10 12:17:54] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:18:00] INFO     | background_wait_events_parser | ✅ Parsed 141 Background Wait Event records.
[2026-07-10 12:18:00] INFO     | background_wait_events_parser | ✅ Inserted 141 rows into awr_background_wait_events
[2026-07-10 12:18:37] INFO     | background_wait_events_parser | ✅ Parsed 48 Background Wait Event records.
[2026-07-10 12:18:37] INFO     | background_wait_events_parser | ✅ Inserted 48 rows into awr_background_wait_events
[2026-07-10 12:18:45] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
[2026-07-10 12:18:46] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:19:10] INFO     | background_wait_events_parser | ✅ Parsed 122 Background Wait Event records.
[2026-07-10 12:19:10] INFO     | background_wait_events_parser | ✅ Inserted 122 rows into awr_background_wait_events
[2026-07-10 12:19:37] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
[2026-07-10 12:19:37] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:19:49] INFO     | background_wait_events_parser | ✅ Parsed 48 Background Wait Event records.
[2026-07-10 12:19:49] INFO     | background_wait_events_parser | ✅ Inserted 48 rows into awr_background_wait_events
[2026-07-10 12:20:19] INFO     | background_wait_events_parser | ✅ Parsed 122 Background Wait Event records.
[2026-07-10 12:20:19] INFO     | background_wait_events_parser | ✅ Inserted 122 rows into awr_background_wait_events
[2026-07-10 12:20:27] INFO     | background_wait_events_parser | ✅ Parsed 58 Background Wait Event records.
[2026-07-10 12:20:27] INFO     | background_wait_events_parser | ✅ Inserted 58 rows into awr_background_wait_events
[2026-07-10 12:20:59] INFO     | background_wait_events_parser | ✅ Parsed 48 Background Wait Event records.
[2026-07-10 12:20:59] INFO     | background_wait_events_parser | ✅ Inserted 48 rows into awr_background_wait_events
[2026-07-10 12:21:16] INFO     | background_wait_events_parser | ✅ Parsed 58 Background Wait Event records.
[2026-07-10 12:21:16] INFO     | background_wait_events_parser | ✅ Inserted 58 rows into awr_background_wait_events
[2026-07-10 12:21:28] INFO     | background_wait_events_parser | ✅ Parsed 122 Background Wait Event records.
[2026-07-10 12:21:28] INFO     | background_wait_events_parser | ✅ Inserted 122 rows into awr_background_wait_events
[2026-07-10 12:26:40] INFO     | background_wait_events_parser | ✅ Parsed 78 Background Wait Event records.
[2026-07-10 12:26:40] INFO     | background_wait_events_parser | ✅ Inserted 78 rows into awr_background_wait_events
[2026-07-10 12:26:53] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:26:53] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:26:53] INFO     | background_wait_events_parser | ✅ Parsed 133 Background Wait Event records.
[2026-07-10 12:26:53] INFO     | background_wait_events_parser | ✅ Inserted 133 rows into awr_background_wait_events
[2026-07-10 12:27:22] INFO     | background_wait_events_parser | ✅ Parsed 61 Background Wait Event records.
[2026-07-10 12:27:22] INFO     | background_wait_events_parser | ✅ Inserted 61 rows into awr_background_wait_events
[2026-07-10 12:28:04] INFO     | background_wait_events_parser | ✅ Parsed 78 Background Wait Event records.
[2026-07-10 12:28:05] INFO     | background_wait_events_parser | ✅ Inserted 78 rows into awr_background_wait_events
[2026-07-10 12:28:50] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:28:50] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:28:51] INFO     | background_wait_events_parser | ✅ Parsed 133 Background Wait Event records.
[2026-07-10 12:28:52] INFO     | background_wait_events_parser | ✅ Inserted 133 rows into awr_background_wait_events
[2026-07-10 12:29:40] INFO     | background_wait_events_parser | ✅ Parsed 78 Background Wait Event records.
[2026-07-10 12:29:40] INFO     | background_wait_events_parser | ✅ Inserted 78 rows into awr_background_wait_events
[2026-07-10 12:30:00] INFO     | background_wait_events_parser | ✅ Parsed 61 Background Wait Event records.
[2026-07-10 12:30:00] INFO     | background_wait_events_parser | ✅ Inserted 61 rows into awr_background_wait_events
[2026-07-10 12:30:25] INFO     | background_wait_events_parser | ✅ Parsed 133 Background Wait Event records.
[2026-07-10 12:30:25] INFO     | background_wait_events_parser | ✅ Inserted 133 rows into awr_background_wait_events
[2026-07-10 12:30:25] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:30:25] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:30:35] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
[2026-07-10 12:30:35] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:31:29] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
[2026-07-10 12:31:29] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:31:39] INFO     | background_wait_events_parser | ✅ Parsed 141 Background Wait Event records.
[2026-07-10 12:31:40] INFO     | background_wait_events_parser | ✅ Inserted 141 rows into awr_background_wait_events
[2026-07-10 12:31:40] INFO     | background_wait_events_parser | ✅ Parsed 52 Background Wait Event records.
[2026-07-10 12:31:40] INFO     | background_wait_events_parser | ✅ Inserted 52 rows into awr_background_wait_events
[2026-07-10 12:31:44] INFO     | background_wait_events_parser | ✅ Parsed 61 Background Wait Event records.
